Ano;Restritividade;PPP ($);PIB_per_capita;acesso_eletricidade;PIB por unidade de energia;consumo de energia;consumo energia renovavel;percentual_energia_renovavel;emissao_co2;consumo_energia;linhas_telefonicas;Estoque_capital_fixo
1990;0.772727273;25900000;2622.262881;87.475116;11.18079197;1460.760329;49.86467493;94.50051835;197900;1460.760329;6.31462851;5.69289E+14
1991;1.166666667;30100000;2259.239894;90.60654449;11.08655762;1486.22461;48.93816849;94.62575253;205480;1486.22461;6.64428365;5.80559E+14
1992;3.3;30100000;2127.50719;88.803833;10.91246233;1494.061476;48.70118267;94.41943971;207870;1494.061476;7.027773611;5.89239E+14
1993;3.222222222;30100000;2348.090047;89.999927;11.17032935;1537.592639;48.19908801;95.2547068;215260;1537.592639;7.206290368;5.99736E+13
1994;3.142857143;242100000;3295.244924;91.88372803;11.23178506;1566.761231;48.35000852;95.40533993;222500;1566.761231;7.695409266;6.14705E+14
1995;2.142857143;432430000;4748.388208;91.728598;11.31874859;1634.398108;46.13435665;94.1574958;241280;1634.398108;8.186031671;6.35551E+14
1996;1.769230769;96600000;5166.163933;92.867095;10.98451587;1687.085238;44.53288239;93.56113404;262410;1687.085238;9.176511637;6.52685E+14
1997;2.615384615;13614850000;5282.04947;93.354139;10.8087151;1762.410629;43.72510837;92.97783637;281330;1762.410629;10.19013266;6.71827E+14
1998;1.674418605;9490130000;5087.079072;94.193812;10.59117673;1808.343155;43.86157674;92.92334373;290590;1808.343155;11.77166803;6.89178E+14
1999;0.130434783;4514240000;3479.843833;94.76296;10.40489687;1832.378306;44.09727587;90.03692683;300960;1832.378306;14.49929905;7.03297E+13
2000;0.915492958;7444500000;3749.910848;94.391716;10.81795009;1897.353148;42.66;89.49270586;313670;1897.353148;17.69335308;7.21E+14
2001;0.357894737;3683540000;3160.249345;96.01652527;10.78023203;1747.939631;41.33;84.28744505;319380;1747.939631;21.12393485;7.37582E+14
2002;1.21978022;3678930000;2839.491501;96.65299225;10.82298577;1806.669684;42.85;85.738173;317760.0098;1806.669684;21.61703303;7.51159E+14
2003;0.793103448;3688350000;3070.436419;96.98009491;10.76943336;1882.264028;45.11;87.16360313;310809.9976;1882.264028;21.5638098;7.61349E+14
2004;1.485074627;1757100000;3637.31389;96.7651062;10.78972414;1956.159381;45.18;86.03211228;328519.989;1956.159381;21.50951574;7.7471E+14
2005;0.775510204;3751790000;4790.456566;97.09351349;10.86166439;2015.799869;46.13;87.12462751;331690.0024;2015.799869;21.4114975;7.86957E+14
2006;0.824561404;5654000000;5886.391522;97.59431458;10.91264513;2072.36268;46.67;86.74765165;335619.9951;2072.36268;20.62004846;8.01285E+14
2007;0.489130435;8034900000;7348.187963;98.12538147;10.95354234;2167.606561;47.19;88.21467965;352559.9976;2167.606561;20.72241635;8.21067E+14
2008;0.932960894;8891200000;8831.183643;98.52662659;10.90396583;2229.845299;47.04;84.26642365;373630.0049;2229.845299;21.47329546;8.4595E+13
2009;0.57079646;23150210000;8597.794335;98.85694122;11.25827641;2197.125581;48.92;88.99577577;350000;2197.125581;21.40272597;8.66817E+14
2010;0.971264368;11218100000;11286.07154;98.59999847;10.94823851;2374.116628;46.81;84.72423388;397929.9927;2374.116628;21.53218298;8.96611E+14
2011;2.04;16055100000;13245.38737;99.32868958;11.20791788;2430.80331;45.26;87.120997;418309.9976;2430.80331;21.78362964;9.27276E+14
2012;7.818181818;29729630000;12370.22325;99.5194931;10.94887692;2501.474103;43.49;82.4482831;454230.011;2501.474103;22.23187038;9.54595E+14
2013;7.909090909;9576120000;12300.38671;99.57514954;10.81751705;2568.829695;42.32;76.68920812;486839.9963;2568.829695;22.40302071;9.8334E+14
2014;0.166666667;9440600000;12112.83496;99.65024567;10.53097888;2619.960499;41.71;73.08207385;511619.9951;2619.960499;21.76335286;1.00574E+14
2015;2.727272727;5573180000;8813.989806;99.71089935;;;43.62;73.96690805;485339.9963;;21.36096402;1.01306E+14
2016;11.6;14598300000;8710.06329;99.69999695;;;45.46;;447079.9866;;20.37413949;1.01064E+14
2017;4.833333333;5813300000;9928.675897;99.80000305;;;45.33;;456489.9902;;19.42691493;1.00665E+14
2018;0.666666667;4947340000;9151.381732;99.69999695;;;46.95;;433989.9902;;18.28999275;1.00347E+14
2019;3.842105263;6309570000;8876.059836;99.80000305;;;47.57;;434299.9878;;15.97391735;1.00473E+14
2020;3.222222222;5899740000;6814.875632;100;;;;;;;14.42129144;1.00356E+13
2021;3.96;2670270000;7518.834284;;;;;;;;;1.01342E+14
