"","participation","income","age","education","youngkids","oldkids","foreign","total_kids"
"1","no",10.787497,3,8,1,1,"no",2
"2","yes",10.524251,4.5,8,0,1,"no",1
"3","no",10.968578,4.6,9,0,0,"no",0
"4","no",11.104999,3.1,11,2,0,"no",2
"5","no",11.10847,4.4,12,0,2,"no",2
"6","yes",11.028254,4.2,12,0,1,"no",1
"7","no",11.454707,5.1,8,0,0,"no",0
"8","yes",10.490918,3.2,8,0,2,"no",2
"9","no",10.62474,3.9,12,0,0,"no",0
"10","no",10.48642,4.3,11,0,2,"no",2
"11","no",10.660618,4.5,11,0,2,"no",2
"12","no",10.467589,6,12,0,0,"no",0
"13","no",11.229592,3.3,11,2,0,"no",2
"14","no",11.906462,5.6,14,0,0,"no",0
"15","no",11.501562,5.6,11,0,0,"no",0
"16","no",11.293492,4.7,11,0,1,"no",1
"17","no",10.861253,5,8,0,0,"no",0
"18","yes",11.844049,3.9,12,0,0,"no",0
"19","no",11.048627,4.7,8,0,1,"no",1
"20","yes",10.957795,5.3,11,0,0,"no",0
"21","no",10.860134,2.9,19,0,0,"no",0
"22","yes",11.108121,4.6,11,0,1,"no",1
"23","no",10.84862,4.4,8,0,2,"no",2
"24","no",10.482397,2,12,1,0,"no",1
"25","yes",10.48404,5.4,8,0,0,"no",0
"26","yes",10.601204,4.7,8,0,0,"no",0
"27","no",10.540632,2.8,9,2,0,"no",2
"28","no",11.224276,4.7,8,0,1,"no",1
"29","yes",10.841085,4.9,12,0,0,"no",0
"30","no",10.566288,3,11,0,1,"no",1
"31","no",11.769593,5.1,11,0,0,"no",0
"32","no",10.667089,2.8,11,0,2,"no",2
"33","no",10.624627,5.4,11,0,0,"no",0
"34","no",10.537148,4.9,8,0,0,"no",0
"35","no",11.135636,5.3,10,0,0,"no",0
"36","no",10.315332,5.5,8,0,0,"no",0
"37","no",10.372655,2.4,11,1,0,"no",1
"38","no",11.507138,5,8,0,1,"no",1
"39","yes",11.156561,3.6,13,0,2,"no",2
"40","no",10.452933,2.3,9,1,0,"no",1
"41","yes",11.106286,4.1,12,0,2,"no",2
"42","no",10.657185,2.3,10,0,1,"no",1
"43","no",10.518618,3.8,10,0,2,"no",2
"44","no",10.699437,5.3,12,0,0,"no",0
"45","no",9.668874,4.5,12,0,1,"no",1
"46","no",10.922165,3.7,12,0,2,"no",2
"47","no",11.249361,3.6,15,2,0,"no",2
"48","no",10.051168,4.6,12,0,0,"no",0
"49","no",10.621104,3.1,10,1,1,"no",2
"50","yes",10.644639,4.2,10,0,2,"no",2
"51","no",10.419983,2.2,10,1,0,"no",1
"52","yes",10.466988,3.2,8,0,1,"no",1
"53","yes",10.478207,3.4,9,0,2,"no",2
